"발생일시","관할해경서","발생해역","발생유형","발생원인","기상특보","사고선박수","구조인원","부상인원","사망인원","실종인원","사고위치","위도","경도","선종1","톤수1","선종2","톤수2","선종3","톤수3"
"2011-12-31 13:20","울산","영해-EEZ","화재","관리소홀","양호","1","4","0","0","0","울기 동남방 26마일 해상","35|19|00","129|51|00","어선","9.77",,,,
"2011-12-31 12:22","통영","항계내","추진기장애","운항부주의","양호","1","2","0","0","0","34-40N,128-41-45E 해점","34|40|06","128|41|45","어선","4.97",,,,
"2011-12-31 06:40","여수","영해","전복","운항부주의","양호","1","5","0","0","0","여수시 돌산읍 항대 앞","34|38|65","127|42|23","낚시어선","1.88",,,,
"2011-12-30 21:15","부산","항계내","화재","정비불량","양호","1","67","0","0","0","부산 사하구 감천항 3부두 2선석(35-03.78N 129-00.70E)","35|03|78","129|00|70","어선","2194",,,,
"2011-12-30 12:00","서귀포","영해-EEZ","기관고장","정비불량","양호","1","6","0","0","0","서귀포 남방 43마일","32|31|00","126|36|00","어선","8.55",,,,
"2011-12-30 11:07","속초","영해","침수","정비불량","양호","1","1","0","0","0","낙산 동방 2.5마일","37|07|21","128|41|20","어선","3",,,,
"2011-12-30 01:30","서귀포","영해-EEZ","기관고장","정비불량","양호","1","10","0","0","0","서귀포 남동 30마일","32|50|00","126|54|00","어선","79",,,,
"2011-12-29 16:30","울산","영해","기관고장","정비불량","태풍주의보","1","2","0","0","0","방어진 남동방 7","35|25|55","129|33|40","어선","15",,,,
"2011-12-29 14:48","통영","항계내","기타","정비불량","양호","1","1","0","0","0","남해미조 동방 인근해상","34|42|70","128|07|27","관공선","10",,,,
"2011-12-29 14:15","목포","영해","추진기장애","운항부주의","양호","1","46","0","0","0","전남 진도군 조도면 장죽도 남서 0.5마일","34|20|15","126|05|55","여객선","247",,,,
"2011-12-29 13:35","목포","영해","추진기장애","관리소홀","양호","1","1","0","0","0","전남 영광군 염산면 두우리 서방 1마일 해상","35|13|00","126|17|00","기타","4.2",,,,
"2011-12-29 10:50","인천","영해","기관고장","정비불량","황천5급","1","5","0","0","0","덕적도 북방 15마일","37|31|00","126|05|00","어선","9.77",,,,
"2011-12-28 16:00","목포","영해","화재","화기취급부주의","양호","1","10","8","0","0","전남 진도군 조도면 가사도리 양덕도 남방 0.3마일","34|29|00","126|06|00","어선","29",,,,
"2011-12-28 14:40","통영","항계내","좌초","운항부주의","양호","1","2","0","0","0","경남 사천시 소재 향기도 남동방 0.4마일 해상","34|56|37","127|58|29","어선","2.99",,,,
"2011-12-28 13:45","포항","영해","추진기장애","운항부주의","양호","1","1","0","0","0","영일만 신항 북방파제 동방 2마일","36|05|50","129|26|40","어선","3",,,,
"2011-12-27 08:30","동해","영해","기관고장","기타","양호","1","11","0","0","0","강원도 삼척시 장호항 동방 약 2마일","37|17|21","129|21|28","낚시어선","4.99",,,,
"2011-12-26 20:50","부산","영해","표류","운항부주의","양호","1","1","0","0","0","신자도 남방 1마일(추정)","35|03|00","128|54|00","어선","2.21",,,,
"2011-12-26 20:35","부산","항계내","기타","운항부주의","양호","2","20","0","0","0","부산 남항 출입항 항로 홍색 등부표 10번과 12번 사이","35|04|30","129|02|20","어선","29","화물선","497",,
"2011-12-26 14:10","여수","영해","기관고장","정비불량","양호","1","3","0","0","0","여수시 남면 작도 남동방 약 2.3마일","34|23|60","127|56|50","어선","4.99",,,,
"2011-12-26 14:00","서귀포","영해","기관고장","정비불량","황천5급","1","1","0","0","0","동일리 포구 앞 500m해상","33|13|44","126|14|18","어선","1.04",,,,
"2011-12-26 07:10","평택","영해","기타","기상악화","태풍주의보","2","52","0","0","0","장안서 입항 대기 묘지","37|03|48","126|12|45","화물선","81569","화물선","42286",,
"2011-12-26 01:30","울산","영해-EEZ","기타","기타","풍랑주의보","1","3","0","1","10","간절곶 동방 15마일","35|20|20","129|41|00","어선","139",,,,
"2011-12-25 08:35","속초","항계내","침수","관리소홀","양호","1","0","0","0","0","강릉시 주문진항 관공선부두","37|53|10","128|49|51","어선","29",,,,
"2011-12-25 03:53","여수","영해","침수","관리소홀","양호","1","0","0","0","0","여수시 신월동 호남장례식장 앞 선착장","34|43|34","127|42|51","어선","7.93",,,,
"2011-12-24 19:28","포항","영해","타기고장","정비불량","풍랑주의보","1","5","0","0","0","강구 동방 8마일","36|21|00","129|33|00","어선","9.77",,,,
"2011-12-24 17:00","태안","항계내","기타","관리소홀","황천5급","1","0","0","0","0","대천항 여객선 부두","0|0|0","0|0|0","기타","2.2",,,,
"2011-12-24 10:31","여수","영해","전복","관리소홀","양호","1","0","0","0","0","여수시 돌산읍 대횡간도 수로","34|35|07","127|45|59","어선","2.32",,,,
"2011-12-23 20:30","서귀포","영해-EEZ","충돌","운항부주의","황천4급","2","21","0","0","0","표선 남동방 18마일","33|25|00","126|58|00","어선","29","어선","79",,
"2011-12-22 22:00","완도","영해","전복","운항부주의","양호","1","1","3","1","1","전남 완도군 노화읍 잘포리 앞 인근해상","34|10|68","126|33|51","어선","1.88",,,,
"2011-12-22 16:20","통영","영해","기관고장","정비불량","양호","1","1","0","0","0","거제시 외도 동방 0.5M' 해상","34|46|10","128|43|63","어선","1.99",,,,
"2011-12-22 11:05","통영","영해","전복","기상악화","풍랑주의보","1","1","0","1","2","통영해경서-2011-12-0165","34|19|40","128|31|22","어선","7.93",,,,
"2011-12-22 07:40","목포","영해","추진기장애","운항부주의","황천5급","1","11","0","0","0","전남 신안군 흑산면 가거도 남동 19마일","33|47|00","125|23|00","어선","78",,,,
"2011-12-21 18:50","제주","영해","좌초","운항부주의","양호","1","11","0","0","0","33-25N, 126-13.40E(비양도 등대 앞)","33|25|00","126|13|40","어선","29",,,,
"2011-12-21 18:35","인천","협수로","기관고장","정비불량","태풍주의보","1","3","0","0","0","묵통도 근해상","37|16|00","126|16|00","유도선","20",,,,
"2011-12-21 16:14","울산","영해","충돌","운항부주의","황천5급","2","52","0","0","0","울산 주전동방 9마일","35|33|30","129|38|40","어선","27","화물선","37000",,
"2011-12-21 13:40","부산","영해","기관고장","정비불량","양호","1","1","0","0","0","송정항 구등대 북서방 500미터 해상","35|10|35","129|12|80","어선","1.16",,,,
"2011-12-21 09:10","부산","영해","기관고장","정비불량","양호","1","1","0","0","0","송정 죽도공원 남서방 1,000미터","35|10|20","129|12|10","어선","1.16",,,,
"2011-12-20 20:30","통영","항계내","좌초","기타","양호","1","4","0","0","0","사천시 장구도 부근 모살여 해상","34|54|57","128|03|67","기타","4",,,,
